TODOS VOO;EXISTE;NAO EXITE;
SWPY;;SWSI;
SWPI;SWPI;SWRD;
SWMW;;SWHT;
SWLC;SWLC;SNPD;
SWLB;SWLB;SNDV;
SWKO;SWKO;SNDC;
SWGN;SWGN;SDOW;
SWEI;SWEI;SBTU;
SWCA;SWCA;SBTB;*
SWBC;;SBNT;*
SURV;;SBMY;
SSVL;;SBMD;
SSUV;;SBJF;*
SSSB;;SBFE;
SSPI;;SBCM;
SSPG;;SBCI;
SSOG;;SBAQ;
SSKW;;SBAA;
SSKM;;;
SSGY;;;
SSFB;;;
SSCT;;;
SSCP;;;
SNVB;SNVB;;
SNTF;SNTF;;
SNOB;;;
SNBR;;;
SNBA;;;
SJRG;;;
SIMK;;;
SDIY;;;
SBZM;SBZM;;
SBVT;SBVT;;
SBVH;SBVH;;
SBVG;;;
SBVC;;;
SBUY;;;
SBUR;SBUR;;
SBUL;;;
SBUG;;;
SBUF;SBUF;;
SBUA;SBUA;;
SBTT;SBTT;;
SBTG;SBTG;;
SBTF;SBTF;;
SBTE;;;
SBTD;;;
SBTC;;;
SBTB;;;
SBSV;SBSV;;
SBSR;SBSR;;
SBSP;SBSP;;
SBSO;;;
SBSN;;;
SBSM;SBSM;;
SBSL;;;
SBSJ;SBSJ;;
SBSI;;;
SBSG;SBSG;;
SBRP;SBRP;;
SBRJ;SBRJ;;
SBRF;SBRF;;
SBRD;;;
SBRB;;;
SBPV;SBPV;;
SBPS;;;
SBPO;;;
SBPL;;;
SBPK;;;
SBPJ;;;
SBPG;;;
SBPF;SBPF;;
SBPB;SBPB;;
SBPA;SBPA;;
SBNM;;;
SBNF;;;
SBMS;;;
SBMQ;;;
SBMO;;;
SBML;SBML;;
SBMK;;;
SBMG;;;
SBME;SBME;TEM Q VER DPS;
SBMA;;;
SBLO;;;
SBLJ;;;
SBLE;SBLE;;
SBKP;SBKP;;
SBKG;;;
SBJV;;;
SBJU;;;
SBJP;;;
SBJI;SBJI;;
SBJE;;;
SBJA;;;
SBIZ;;;
SBIP;;;
SBIL;;;
SBIH;SBIH;;
SBHT;;;
SBGV;SBGV;;
SBGR;SBGR;;
SBGO;;;
SBGL;SBGL;;
SBFZ;SBFZ;;
SBFN;;;
SBFL;;;
SBFI;;;
SBEG;SBEG;;
SBDO;SBDO;;
SBDN;SBDN;;
SBDB;SBDB;;
SBCZ;SBCZ;;
SBCY;SBCY;;
SBCX;;;
SBCT;SBCT;;
SBCR;SBCR;;
SBCP;SBCP;;
SBCN;;;
SBCJ;;;
SBCH;SBCH;;
SBCG;SBCG;;
SBCF;SBCF;;
SBCB;SBCB;não tem voo do rio pra cabo frio;
SBCA;;;
SBBW;;;
SBBV;;;
SBBR;SBBR;;
SBBE;SBBE;;
SBAX;SBAX;;
SBAU;SBAU;;
SBAT;SBAT;;
SBAR;;;
SBAE;SBAE;;
SBAC;;;
